Tahun,Bulan,subdrive,hpp,pendapatan perkapita,harga bawang putih,permintaan,jumlah penduduk,jumlah produksi
2018,Jan-18,DI Yogyaarta,131.81,34100000,23800,280000,3802872,1.2217
2018,Feb-18,DI Yogyaarta,131.81,34100000,36200,280000,3802872,1.2217
2018,Mar-18,DI Yogyaarta,131.81,34100000,47200,280000,3802872,1.2217
2018,Apr-18,DI Yogyaarta,131.81,34100000,35850,280000,3802872,1.2217
2018,May-18,DI Yogyaarta,131.81,34100000,25600,280000,3802872,1.2217
2018,Jun-18,DI Yogyaarta,131.81,34100000,26700,280000,3802872,1.2217
2018,Jul-18,DI Yogyaarta,131.81,34100000,25700,280000,3802872,1.2217
2018,Aug-18,DI Yogyaarta,131.81,34100000,24950,280000,3802872,1.2217
2018,Sep-18,DI Yogyaarta,131.81,34100000,26050,280000,3802872,1.2217
2018,Oct-18,DI Yogyaarta,131.81,34100000,25250,280000,3802872,1.2217
2018,Nov-18,DI Yogyaarta,131.81,34100000,23050,280000,3802872,1.2217
2018,Dec-18,DI Yogyaarta,131.81,34100000,24050,280000,3802872,1.2217
2019,Jan-19,DI Yogyaarta,135.46,36700000,25350,230000,3842932,1.0383
2019,Feb-19,DI Yogyaarta,135.46,36700000,33200,230000,3842932,1.0383
2019,Mar-19,DI Yogyaarta,135.46,36700000,41650,230000,3842932,1.0383
2019,Apr-19,DI Yogyaarta,135.46,36700000,50900,230000,3842932,1.0383
2019,May-19,DI Yogyaarta,135.46,36700000,44250,230000,3842932,1.0383
2019,Jun-19,DI Yogyaarta,135.46,36700000,35550,230000,3842932,1.0383
2019,Jul-19,DI Yogyaarta,135.46,36700000,34050,230000,3842932,1.0383
2019,Aug-19,DI Yogyaarta,135.46,36700000,31600,230000,3842932,1.0383
2019,Sep-19,DI Yogyaarta,135.46,36700000,30750,230000,3842932,1.0383
2019,Oct-19,DI Yogyaarta,135.46,36700000,30350,230000,3842932,1.0383
2019,Nov-19,DI Yogyaarta,135.46,36700000,31400,230000,3842932,1.0383
2019,Dec-19,DI Yogyaarta,135.46,36700000,30300,230000,3842932,1.0383
2020,Jan-20,DI Yogyaarta,106.1,35600000,33450,230000,3882288,1.1792
2020,Feb-20,DI Yogyaarta,106.1,35600000,49900,230000,3882288,1.1792
2020,Mar-20,DI Yogyaarta,106.1,35600000,44050,230000,3882288,1.1792
2020,Apr-20,DI Yogyaarta,106.1,35600000,37800,230000,3882288,1.1792
2020,May-20,DI Yogyaarta,106.1,35600000,28500,230000,3882288,1.1792
2020,Jun-20,DI Yogyaarta,106.1,35600000,23850,230000,3882288,1.1792
2020,Jul-20,DI Yogyaarta,106.1,35600000,21850,230000,3882288,1.1792
2020,Aug-20,DI Yogyaarta,106.1,35600000,23000,230000,3882288,1.1792
2020,Sep-20,DI Yogyaarta,106.1,35600000,24650,230000,3882288,1.1792
2020,Oct-20,DI Yogyaarta,106.1,35600000,24800,230000,3882288,1.1792
2020,Nov-20,DI Yogyaarta,106.1,35600000,28300,230000,3882288,1.1792
2020,Dec-20,DI Yogyaarta,106.1,35600000,28300,230000,3882288,1.1792
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
