Kelamin,Rata-ratasem4,Rata-ratasem5,Rata-ratasem6,Tanggungan,PenghasilanAyah(Rupiah),PenghasilanIbu(Rupiah),Jumlahpenghasilan,Pekerjaan Ayah,Kepemilikanrumah,BahanLantai,Diterima/tdk
Laki-laki,85,85,85,4,1000000,0,1000000,Keamanan Rw Setempat,Menumpang,Ubin,1
Perempuan,83.5,857,0,6,1000000,0,1000000,Buruh Harian Lepas,Milik Sendiri,Keramik,0
Perempuan,91.6,768,0,3,2700000,0,2700000,Buruh Harian Lepas,Milik Sendiri,Keramik,0
Perempuan,81.8,83,,4,1500000,0,1500000,Buruh,Milik Sendiri,Keramik,1
Laki-laki,77,78,81,6,0,0,0,Tidak bekerja,Menumpang,Ubin,0
Perempuan,83,91,92,10,0,0,0,Tidak bekerja,Menumpang,Keramik,0
Laki-laki,94,7708,0,8,3000000,0,3000000,Wiraswasta,Milik Sendiri,Keramik,1
Laki-laki,835,8021,8342,4,2500000,0,2500000,Petani,Milik Sendiri,Semen Plaster,1
Laki-laki,813,846,867,4,2000000,0,2000000,BURUH,Milik Sendiri,Keramik,0
Perempuan,82,83,85,4,0,0,0,Sudah tidak bekerja,Milik Sendiri,Semen Plaster,1
Perempuan,826,843,841,6,1500000,0,1500000,Buruh bangunan,Menumpang,Keramik,1
Perempuan,8513,8657,8792,4,4000000,0,4000000,Karyawan swasta,Sewa Bulanan,Semen Plaster,0
Perempuan,7900,809,821,4,2800000,0,2800000,Poles Marmer / Kuli Marmer ,Sewa Bulanan,Keramik,1
Laki-laki,83,86,87,6,1000000,600000,1600000,Buruh Harian Lepas,Milik Sendiri,Tanah,0
Perempuan,84,86,87,3,0,600000,600000,TNI-AD,Milik Sendiri,Semen Plaster,1
Perempuan,84,90,92,5,2000000,0,2000000,Wiraswasta,Milik Sendiri,Keramik,1
Perempuan,82,84,86,7,2000000,0,2000000,Buruh bangunan,Milik Sendiri,Keramik,1
Perempuan,84,87,89,3,600000,0,600000,Buruh Bangunan,Menumpang,Semen Plaster,0
Perempuan,82,835,883,2,2000000,500000,2500000,BURUH,Sewa Bulanan,Ubin,0
Perempuan,83,83,85,5,2000000,0,2000000,BURUH ,Milik Sendiri,Ubin,1
Perempuan,87,85,87,4,300000,300000,600000,PETANI,Menumpang,Ubin,0
Perempuan,84,84,84,5,0,0,0,Wiraswasta,Menumpang,Kayu,0
Perempuan,87,86,88,4,500000,500000,1000000,Petani,Milik Sendiri,Semen Plaster,1
Perempuan,80,79,81,4,2000000,0,2000000,Karyawan bumn,Milik Sendiri,Keramik,0
Perempuan,88,89,90,5,5000000,0,5000000,Buruh,Milik Sendiri,Keramik,0
Perempuan,76,76,76,5,4000000,0,4000000,Wiraswasta,Sewa Bulanan,Keramik,1
Perempuan,845,855,89,7,3000000,0,3000000,Wiraswasta ,Menumpang,Semen Plaster,0
Perempuan,80,76,89,4,3500000,0,3500000,PEGAWAI SWASTA,Milik Sendiri,Ubin,1
