Tahun,Bulan,subdrive,hpp,pendapatanperkapita,harga ,permintaan,jumlahpenduduk,jumlahproduksi
2018,januari,DI Yogyaarta,131.81,34100000,23800,28000,3802872,122179
2018,februari,DI Yogyaarta,131.81,34100000,36200,28000,3802872,122179
2018,maret,DI Yogyaarta,131.81,34100000,47200,28000,3802872,122179
2018,april,DI Yogyaarta,131.81,34100000,35850,28000,3802872,122179
2018,mei,DI Yogyaarta,131.81,34100000,25600,28000,3802872,122179
2018,juni,DI Yogyaarta,131.81,34100000,26700,28000,3802872,122179
2018,juli,DI Yogyaarta,131.81,34100000,25700,28000,3802872,122179
2018,agustus,DI Yogyaarta,131.81,34100000,24950,28000,3802872,122179
2018,september,DI Yogyaarta,131.81,34100000,26050,28000,3802872,122179
2018,oktober,DI Yogyaarta,131.81,34100000,25250,28000,3802872,122179
2018,november,DI Yogyaarta,131.81,34100000,23050,28000,3802872,122179
2018,desember,DI Yogyaarta,131.81,34100000,24050,28000,3802872,122179
2019,januari,DI Yogyaarta,135.46,36700000,25350,23000,3842932,103838
2019,februari,DI Yogyaarta,135.46,36700000,33200,23000,3842932,103838
2019,maret,DI Yogyaarta,135.46,36700000,41650,23000,3842932,103838
2019,april,DI Yogyaarta,135.46,36700000,50900,23000,3842932,103838
2019,mei,DI Yogyaarta,135.46,36700000,44250,23000,3842932,103838
2019,juni,DI Yogyaarta,135.46,36700000,35550,23000,3842932,103838
2019,juli,DI Yogyaarta,135.46,36700000,34050,23000,3842932,103838
2019,agustus,DI Yogyaarta,135.46,36700000,31600,23000,3842932,103838
2019,september,DI Yogyaarta,135.46,36700000,30750,23000,3842932,103838
2019,oktober,DI Yogyaarta,135.46,36700000,30350,23000,3842932,103838
2019,november,DI Yogyaarta,135.46,36700000,31400,23000,3842932,103838
2019,desember,DI Yogyaarta,135.46,36700000,30300,23000,3842932,103838
2020,januari,DI Yogyaarta,106.1,35600000,33450,23000,3882288,117923
2020,februari,DI Yogyaarta,106.1,35600000,49900,23000,3882288,117923
2020,maret,DI Yogyaarta,106.1,35600000,44050,23000,3882288,117923
2020,april,DI Yogyaarta,106.1,35600000,37800,23000,3882288,117923
2020,mei,DI Yogyaarta,106.1,35600000,28500,23000,3882288,117923
2020,juni,DI Yogyaarta,106.1,35600000,23850,23000,3882288,117923
2020,juli,DI Yogyaarta,106.1,35600000,21850,23000,3882288,117923
2020,agustus,DI Yogyaarta,106.1,35600000,23000,23000,3882288,117923
2020,september,DI Yogyaarta,106.1,35600000,24650,23000,3882288,117923
2020,oktober,DI Yogyaarta,106.1,35600000,24800,23000,3882288,117923
2020,november,DI Yogyaarta,106.1,35600000,28300,23000,3882288,117923
2020,desember,DI Yogyaarta,106.1,35600000,28300,23000,3882288,117923
