Tahun,Bulan,subdrive,hpp,pendapatanperkapita,hargabawang,permintaan,jumlahpenduduk,jumlahproduksi
2018,januari,DI Yogyaarta,400,0.0001575,0.00001274,450,1,1
2018,februari,DI Yogyaarta,405,0.0001699,0.00001283,450,1,1
2018,maret,DI Yogyaarta,410,0.000235,0.00002285,450,1,1
2018,april,DI Yogyaarta,415,0.0003102,0.00002474,450,1,1
2018,mei,DI Yogyaarta,420,0.0004917,0.00001115,450,1,1
2018,juni,DI Yogyaarta,425,0.000871,0.00001885,450,1,1
2018,juli,DI Yogyaarta,430,0.0017418,0.00002514,450,1,1
2018,agustus,DI Yogyaarta,435,0.00464,0.00002531,450,1,1
2018,september,DI Yogyaarta,436,0.0065895,0.00002008,450,1,1
2018,oktober,DI Yogyaarta,438,0.0097302,0.00000776,450,1,1
2018,november,DI Yogyaarta,439,0.0149002,0.00004097,450,1,1
2018,desember,DI Yogyaarta,441,0.023731,0.00003777,450,1,1
2019,januari,DI Yogyaarta,442,0.0401683,0.00006009,450,1,1
2019,februari,DI Yogyaarta,444,0.0712559,0.00004074,450,1,1
2019,maret,DI Yogyaarta,445,0.1264458,0.00006864,450,1,1
2019,april,DI Yogyaarta,447,0.2073413,0.0000513,450,1,1
2019,mei,DI Yogyaarta,448,0.2902366,0.00009394,450,1,1
2019,juni,DI Yogyaarta,450,0.3445623,0.00011034,450,1,1
2019,juli,DI Yogyaarta,451,0.3698049,0.00009759,450,1,1
2019,agustus,DI Yogyaarta,453,0.3668534,0.00014753,450,1,1
2019,september,DI Yogyaarta,454,0.3106727,0.00013015,450,1,1
2019,oktober,DI Yogyaarta,456,0.2078154,0.00011216,450,1,1
2019,november,DI Yogyaarta,457,0.1164354,0.00007183,450,1,1
2019,desember,DI Yogyaarta,459,0.0616764,0.00002604,450,1,1
2020,januari,DI Yogyaarta,460,0.03372,0.00003392,450,1,1
2020,februari,DI Yogyaarta,462,0.194023,0.00002341,450,1,1
2020,maret,DI Yogyaarta,463,0.117831,0.0000167,450,1,1
2020,april,DI Yogyaarta,465,0.0074357,0.00001274,450,1,1
2020,mei,DI Yogyaarta,470,0.0022732,0.00002674,450,1,1
2020,juni,DI Yogyaarta,475,0.00088,0.0000167,450,1,1
2020,juli,DI Yogyaarta,480,0.0004579,0.00002286,450,1,1
2020,agustus,DI Yogyaarta,485,0.0002345,0.0000212,450,1,1
2020,september,DI Yogyaarta,490,0.0001586,0.00002004,450,1,1
2020,oktober,DI Yogyaarta,495,0.0001143,0.00001282,450,1,1
2020,november,DI Yogyaarta,500,0.000071,0.0000253,450,1,1
2020,desember,DI Yogyaarta,505,0.000085,0.0000354,450,1,1
